Empresa	Mercado	Mes	Año	Per	GM	TM	PR	D	CV	RM	CUV	OP	E1	E2	E3	E4	E56	Día
CEDENAR S.A. E.S.P.	NARIÑO	Feb-23	2023	2	324,660	48,710	72,810	276,700	148,250	21,440	892,560	828,330	333,200	416,500	704,080	828,330	994,000	25
CEDENAR S.A. E.S.P.	NARIÑO	Mar-23	2023	3	377,450	52,367	81,730	279,310	152,910	17,480	961,260	842,080	338,740	423,420	715,770	842,080	1010,500	25
CEDENAR S.A. E.S.P.	NARIÑO	Abr-23	2023	4	338,120	53,520	75,570	266,480	157,770	40,990	932,460	853,450	342,300	427,870	725,430	853,450	1024,140	25
CEDENAR S.A. E.S.P.	NARIÑO	May-23	2023	5	266,070	48,530	63,260	262,120	165,290	39,120	844,400	862,670	347,450	434,310	733,270	862,670	1035,200	25
CEDENAR S.A. E.S.P.	NARIÑO	Jun-23	2023	6	362,011	50,703	77,928	263,884	152,139	16,472	923,138	869,051	348,964	436,206	738,694	869,051	1042,862	25
CEDENAR S.A. E.S.P.	NARIÑO	Jul-23	2023	7	326,270	40,870	71,790	267,660	160,360	24,470	891,420	874,270	350,010	437,510	743,130	874,270	1049,120	25
CEDENAR S.A. E.S.P.	NARIÑO	Ago-23	2023	8	317,270	46,960	71,170	259,750	152,830	13,320	861,300	881,260	352,500	440,630	749,070	881,260	1057,510	25
CEDENAR S.A. E.S.P.	NARIÑO	Sep-23	2023	9	313,343	47,020	69,580	258,130	156,571	18,369	863,012	890,072	356,029	445,036	756,562	890,072	1068,087	25
CEDENAR S.A. E.S.P.	NARIÑO	Oct-23	2023	10	287,080	48,600	65,980	277,340	155,980	0,440	835,420	916,770	366,710	458,390	779,260	916,770	1100,130	25
CEDENAR S.A. E.S.P.	NARIÑO	Nov-23	2023	11	291,410	46,250	56,470	276,750	153,660	3,110	827,650	925,940	370,380	462,970	787,050	925,940	1111,130	25
CEDENAR S.A. E.S.P.	NARIÑO	Dic-23	2023	12	284,600	51,240	57,290	267,320	158,090	20,810	839,330	931,500	372,600	465,750	791,770	931,500	1117,800	25
CEDENAR S.A. E.S.P.	NARIÑO	Ene-24	2024	1	369,030	54,320	70,060	261,910	202,900	13,050	971,270		388,510	485,640	825,580	971,270	1165,530	25
CEDENAR S.A. E.S.P.	NARIÑO	Ene-23	2023	1	299,190	51,970	56,920	268,320	145,990	22,790	845,190	817,460	327,390	409,230	694,840	817,460	980,950	25
CEDENAR S.A. E.S.P.	NARIÑO	Ene-22	2022	1	264,200	43,680	48,310	230,510	128,640	22,090	737,430	701,530	280,610	350,760	596,300	701,530	841,830	25
CEDENAR S.A. E.S.P.	NARIÑO	Feb-22	2022	2	256,590	45,130	47,480	252,310	130,970	25,300	757,780	710,650	284,260	355,320	604,050	710,650	852,780	25
CEDENAR S.A. E.S.P.	NARIÑO	Mar-22	2022	3	271,150	43,110	49,640	260,180	133,370	19,510	776,960	719,890	287,950	359,940	611,900	719,890	863,860	25
CEDENAR S.A. E.S.P.	NARIÑO	Abr-22	2022	4	275,160	40,330	50,140	258,500	136,370	37,770	798,270	730,690	292,270	365,340	621,080	730,690	876,820	25
CEDENAR S.A. E.S.P.	NARIÑO	May-22	2022	5	266,720	40,980	49,610	262,270	142,530	42,880	805,000	740,180	296,070	370,090	629,160	740,180	888,220	25
CEDENAR S.A. E.S.P.	NARIÑO	Jun-22	2022	6	278,160	49,520	52,330	276,020	137,530	60,490	854,060	762,390	304,960	381,190	648,030	762,390	914,870	25
CEDENAR S.A. E.S.P.	NARIÑO	jul-22	2022	7	275,780	41,910	51,290	282,520	144,920	56,430	852,860	785,260	314,100	392,630	667,470	785,260	942,310	25
CEDENAR S.A. E.S.P.	NARIÑO	Ago-22	2022	8	279,190	52,120	53,830	280,750	143,280	71,490	880,650	808,820	323,530	404,410	687,500	808,820	970,580	25
CEDENAR S.A. E.S.P.	NARIÑO	Sep-22	2022	9	279,260	50,850	54,070	270,780	146,370	45,870	847,200	813,670	326,840	408,550	691,620	813,670	976,410	25
CEDENAR S.A. E.S.P.	NARIÑO	Oct-22	2022	10	293,320	46,170	55,850	263,030	144,150	29,750	832,270	798,740	320,840	401,050	678,930	798,740	958,490	25
CEDENAR S.A. E.S.P.	NARIÑO	Nov-22	2022	11	295,140	47,100	56,050	270,170	142,200	28,670	839,330	798,740	320,840	401,050	678,930	798,740	958,490	25
CEDENAR S.A. E.S.P.	NARIÑO	Dic-22	2022	12	276,260	50,310	53,460	271,490	146,360	38,060	835,930	807,290	323,310	404,130	686,190	807,290	968,750	25
CEDENAR S.A. E.S.P.	NARIÑO	Ene-21	2021	1	202,720	36,100	37,600	200,130	122,410	26,130	625,100	596,360	238,540	298,180	506,910	596,360	715,630	25
CEDENAR S.A. E.S.P.	NARIÑO	Feb-21	2021	2	221,790	43,960	41,480	208,990	119,040	24,990	660,250	614,250	245,700	307,130	522,110	614,250	737,100	25
CEDENAR S.A. E.S.P.	NARIÑO	Mar-21	2021	3	233,680	41,180	42,730	214,110	124,860	13,500	670,050	632,680	253,070	316,340	537,780	632,680	759,210	25
CEDENAR S.A. E.S.P.	NARIÑO	Abr-21	2021	4	230,880	36,080	42,490	212,540	120,630	21,300	663,920	648,500	259,400	324,250	551,220	648,500	778,190	25
CEDENAR S.A. E.S.P.	NARIÑO	May-21	2021	5	236,120	36,320	43,400	216,200	113,590	22,140	667,760	652,390	260,950	326,190	554,530	652,390	782,860	25
CEDENAR S.A. E.S.P.	NARIÑO	Jun-21	2021	6	240,920	47,930	46,200	231,190	124,490	12,930	703,660	656,300	262,520	328,150	557,860	656,300	787,560	25
CEDENAR S.A. E.S.P.	NARIÑO	Jul-21	2021	7	239,800	41,570	45,040	227,170	121,400	29,190	704,160	660,240	264,100	330,120	561,200	660,240	792,290	25
CEDENAR S.A. E.S.P.	NARIÑO	Ago-21	2021	8	238,310	40,280	43,900	222,330	122,180	37,300	704,300	664,200	265,680	332,100	564,570	664,200	797,040	25
CEDENAR S.A. E.S.P.	NARIÑO	Sep-21	2021	9	236,940	36,970	43,160	217,170	127,300	37,990	699,530	668,190	267,270	334,090	567,960	668,190	801,820	25
CEDENAR S.A. E.S.P.	NARIÑO	Oct-21	2021	10	235,910	38,070	43,460	229,120	122,880	38,320	707,770	678,210	271,280	339,100	576,480	678,210	813,850	25
CEDENAR S.A. E.S.P.	NARIÑO	Nov-21	2021	11	230,020	37,310	42,120	232,340	127,720	45,910	715,410	686,350	274,540	343,170	583,390	686,350	823,620	25
CEDENAR S.A. E.S.P.	NARIÑO	Dic-21	2021	12	248,420	38,050	45,030	222,280	131,410	44,240	729,430	694,580	277,830	347,290	590,400	694,580	833,500	25
CEDENAR S.A. E.S.P.	NARIÑO	Ene-20	2020	1	216,920	33,623	40,190	186,211	114,409	-0,539	590,814	590,814	249,550	311,938	512,585	603,041	723,649	25
CEDENAR S.A. E.S.P.	NARIÑO	Feb-20	2020	2	229,070	35,413	40,843	192,538	112,315	2,450	612,629	590,440	250,177	312,721	502,192	590,814	708,977	25
CEDENAR S.A. E.S.P.	NARIÑO	Mar-20	2020	3	253,630	38,400	44,820	189,328	113,901	0,480	640,550	590,440	251,237	314,047	501,880	590,440	708,528	25
CEDENAR S.A. E.S.P.	NARIÑO	Abr-20	2020	4	238,650	38,790	42,280	200,030	112,750	9,040	641,540	590,440	252,920	316,160	501,880	590,440	708,528	25
CEDENAR S.A. E.S.P.	NARIÑO	May-20	2020	5	219,130	43,930	40,720	200,780	120,980	10,320	635,850	590,440	254,350	317,930	501,880	590,440	708,528	25
CEDENAR S.A. E.S.P.	NARIÑO	Jun-20	2020	6	219,000	43,100	40,270	196,000	118,020	1,590	617,990	590,440	254,760	318,450	501,880	590,440	708,528	25
CEDENAR S.A. E.S.P.	NARIÑO	Jul-20	2020	7	219,100	34,330	40,160	200,710	118,550	5,400	618,260	590,440	247,600	309,500	501,880	590,440	708,528	25
CEDENAR S.A. E.S.P.	NARIÑO	Ago-20	2020	8	218,920	38,100	41,280	196,020	111,350	21,050	626,720	590,440	253,000	316,250	501,880	590,440	708,528	25
CEDENAR S.A. E.S.P.	NARIÑO	Sep-20	2020	9	220,810	36,430	40,890	201,900	122,060	22,800	644,890	590,440	253,000	316,250	501,880	590,440	708,530	25
CEDENAR S.A. E.S.P.	NARIÑO	Oct-20	2020	10	221,660	38,710	40,070	211,620	120,910	32,910	665,880	590,440	252,970	316,220	501,880	590,440	708,530	25
CEDENAR S.A. E.S.P.	NARIÑO	Nov-20	2020	11	218,740	40,620	40,150	209,760	124,270	28,690	662,220	590,440	252,830	316,040	501,880	590,440	708,530	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Ene-20	2020	1	212,520	33,620	42,830	186,210	84,470	-0,220	559,430	559,430	233,500	291,880	475,520	559,430	671,316	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Feb-20	2020	2	234,840	35,410	46,300	192,538	83,110	2,520	594,720	594,720	237,890	297,360	505,510	594,720	713,664	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Mar-20	2020	3	235,400	38,400	46,520	189,330	83,240	0,680	593,570	593,570	239,490	299,360	504,540	593,570	712,284	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Abr-20	2020	4	236,550	38,790	46,560	200,030	81,520	4,950	608,400	593,570	240,840	301,040	504,540	593,570	712,284	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	May-20	2020	5	233,720	43,930	47,650	200,780	83,660	8,610	618,350	593,570	241,230	301,520	504,540	593,570	712,280	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Jun-20	2020	6	232,080	43,100	46,910	196,000	86,020	4,630	608,730	593,570	240,450	300,550	504,540	593,570	712,280	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Jul-20	2020	7	231,540	34,330	46,770	200,710	88,500	5,450	607,300	593,570	239,560	299,440	504,540	593,570	712,280	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Ago-20	2020	8	231,620	38,100	47,960	196,020	86,740	20,250	620,680	593,570	239,560	299,440	504,540	593,570	712,280	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Sep-20	2020	9	233,240	36,430	47,520	201,900	90,320	21,280	630,690	593,570	239,540	299,410	504,530	593,570	712,280	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Oct-20	2020	10	233,790	38,710	46,600	211,620	86,530	31,120	648,370	593,570	239,540	299,410	504,530	593,570	712,280	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Nov-20	2020	11	235,860	40,620	47,510	209,760	88,620	24,790	647,160	593,570	239,540	299,410	504,530	593,570	712,280	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Dic-20	2020	12	235,750	31,340	45,070	204,120	85,160	21,650	623,090	596,530	239,060	298,810	507,050	596,530	715,840	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Ene-21	2021	1	237,360	36,100	45,520	200,130	85,420	21,410	625,940	599,520	239,970	299,950	509,590	599,520	719,420	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Feb-21	2021	2	233,410	43,960	42,000	208,990	87,430	22,350	638,200	605,510	242,200	302,760	514,680	605,510	726,510	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Mar-21	2021	3	246,000	41,180	47,010	214,110	89,570	13,090	650,950	609,140	243,660	304,580	517,770	609,140	730,970	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Abr-21	2021	4	239,200	36,080	46,350	212,540	90,080	21,690	645,940	612,800	245,120	306,400	520,880	612,800	735,360	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	May-21	2021	5	242,640	36,320	46,970	216,200	91,020	19,450	652,590	617,700	247,080	308,850	525,040	617,700	741,240	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Jun-21	2021	6	247,040	47,930	49,680	231,190	92,900	11,910	680,650	622,640	249,060	311,320	529,240	622,640	747,170	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Jul-21	2021	7	250,430	41,570	49,340	227,170	94,470	28,760	691,740	627,620	251,050	313,810	533,480	627,620	753,140	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Ago-21	2021	8	253,530	40,280	48,970	222,330	96,460	36,900	698,470	635,150	254,060	317,580	539,880	635,150	762,180	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Sep-21	2021	9	253,710	36,970	48,520	217,170	101,610	36,670	694,650	642,770	257,110	321,390	546,350	642,770	771,320	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Oct-21	2021	10	257,770	38,070	49,620	229,120	94,940	34,380	703,900	650,480	260,190	325,240	552,910	650,480	780,580	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Nov-21	2021	11	261,010	37,310	49,690	232,340	92,250	39,060	711,660	658,290	263,320	329,150	559,550	658,290	789,950	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Dic-21	2021	12	262,660	38,050	49,940	222,280	89,440	38,600	700,970	666,190	266,480	333,090	566,260	666,190	799,430	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Ene-22	2022	1	285,770	43,680	54,250	230,510	87,690	19,170	721,070	699,500	279,800	349,750	594,580	699,500	839,400	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Feb-22	2022	2	273,130	45,130	52,800	252,310	94,130	23,560	741,060	703,700	281,480	351,850	589,140	703,700	844,440	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Mar-22	2022	3	288,650	43,110	55,180	260,180	98,410	18,710	764,240	725,510	290,200	362,760	616,680	725,510	870,610	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Abr-22	2022	4	278,290	40,330	53,550	258,870	100,650	32,610	764,300	734,220	293,690	367,110	624,090	734,220	881,060	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	May-22	2022	5	275,490	40,980	54,040	262,270	99,560	38,790	771,130	743,030	297,210	371,520	631,580	743,030	891,640	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Jun-22	2022	6	279,660	49,520	55,540	276,020	100,510	55,550	816,800	748,970	299,590	374,490	636,620	748,970	898,760	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Jul-22	2022	7	284,770	41,910	55,830	282,520	104,750	49,770	819,550	763,950	305,580	381,970	649,360	763,950	916,740	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	ago-22	2022	8	287,190	52,120	58,080	280,750	105,390	66,610	850,140	790,690	316,280	395,340	672,090	790,690	948,830	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	sep-22	2022	9	291,370	50,850	59,190	270,780	107,330	42,300	821,820	798,760	319,510	399,380	678,950	798,760	958,510	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	oct-22	2022	10	301,220	46,170	60,140	263,030	104,960	27,230	802,750	779,690	311,880	389,840	662,740	779,690	935,630	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Nov-22	2022	11	296,060	47,100	58,870	270,170	104,310	24,950	801,460	778,400	311,360	389,200	661,640	778,400	934,080	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Dic-22	2022	12	284,570	50,310	57,650	271,490	105,010	33,190	802,220	786,720	314,690	393,360	668,710	786,720	944,064	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Ene-23	2023	1	297,880	51,970	59,410	268,320	110,110	19,930	807,620	799,000	319,600	399,500	679,150	799,000	958,800	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Feb-23	2023	2	291,560	48,710	58,080	276,700	108,350	19,000	802,400	815,600	326,240	407,800	693,260	815,600	978,720	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Mar-23	2023	3	303,120	52,370	60,120	279,310	114,790	16,460	826,170	831,590	332,640	415,790	706,850	831,590	997,908	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Abr-23	2023	4	288,480	53,520	57,950	266,480	117,370	34,830	818,600	842,820	337,130	421,410	716,400	842,820	1011,384	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	May-23	2023	5	277,730	48,530	55,550	262,120	115,250	34,920	794,100	851,940	340,780	425,970	724,150	851,940	1022,328	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Jun-23	2023	6	327,280	50,700	62,180	263,880	116,720	16,220	836,980	858,220	343,290	429,110	729,490	858,220	1029,860	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Jul-23	2023	7	294,590	40,870	57,170	267,660	113,630	21,420	795,340	863,370	345,350	431,680	733,860	863,370	1036,044	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Agos-23	2023	8	297,680	46,960	58,630	259,750	108,260	12,270	783,550	870,280	348,110	435,140	739,740	870,280	1044,336	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Sep-23	2023	9	312,040	47,020	60,060	258,130	110,830	16,480	804,560	878,980	351,590	439,490	747,130	878,980	1054,780	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	oct-23	2023	10	366,730	48,600	69,200	277,340	108,660	-1,960	868,570	898,320	359,330	449,160	763,570	898,320	1077,984	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Nov-23	2023	11	371,280	46,250	68,980	276,750	108,050	1,940	873,250	918,980	367,590	459,490	781,130	918,980	1102,776	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Dic-23	2023	12	349,340	51,240	67,750	267,320	165,900	20,100	921,650		369,310	461,650	783,400	921,650	1105,980	25
CELSIA COLOMBIA S.A. E.S.P. VALLE	VALLE DEL CAUCA	Ene-24	2024	1	332,360	54,320	64,090	261,910	181,340	10,170	904,190		369,310	461,650	783,400	921,650	1105,980	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Ene-20	2020	1	240,802	33,623	44,117	212,853	69,971	-0,621	600,744	600,744	248,014	310,018	575,378	575,378	690,454	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Feb-20	2020	2	248,271	35,413	83,531	306,825	71,059	3,105	748,203	604,349	248,637	310,796	600,744	600,744	720,893	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Mar-20	2020	3	284,518	38,396	91,110	302,138	72,781	0,774	789,717	607,970	249,691	312,114	604,349	604,349	725,218	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Abr-20	2020	4	251,603	38,791	80,461	319,030	75,161	5,468	770,514	607,970	251,368	314,210	607,975	607,975	729,570	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	May-20	2020	5	225,987	43,925	75,407	328,094	74,914	10,553	758,880	607,970	252,781	315,976	607,975	607,975	729,570	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Jun-20	2020	6	250,164	43,100	84,686	338,349	77,846	4,775	798,920	607,970	253,188	316,485	607,975	607,975	729,570	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Jul-20	2020	7	222,248	34,330	76,825	340,905	81,040	6,413	761,761	607,970	252,374	315,467	607,975	607,975	729,570	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Ago-20	2020	8	216,500	38,100	74,710	337,040	80,740	21,890	768,980	607,970	251,440	314,299	607,975	607,975	729,570	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Sep-20	2020	9	217,160	36,430	74,090	344,280	80,530	24,240	776,730	607,970	251,440	314,299	516,780	607,975	729,570	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Oct-20	2020	10	213,970	38,710	72,310	344,800	79,820	34,260	783,870	607,970	251,420	314,270	516,770	607,970	729,560	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Nov-20	2020	11	219,580	40,620	74,500	348,870	79,660	28,210	791,430	607,970	251,420	314,270	516,770	607,970	729,560	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Dic-20	2020	12	220,160	31,340	73,730	343,490	77,070	22,990	768,780	611,010	250,920	313,640	519,360	611,010	733,210	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Ene-21	2021	1	208,980	36,100	71,520	327,240	77,120	24,640	745,600	614,070	251,880	314,830	521,960	614,070	736,880	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Feb-21	2021	2	232,350	43,960	67,740	297,870	78,680	22,350	742,950	623,280	252,910	316,110	529,790	623,280	747,940	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Mar-21	2021	3	244,960	41,180	76,440	306,970	77,320	13,090	759,960	627,020	254,430	318,010	532,970	627,020	752,420	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Abr-21	2021	4	238,170	36,080	71,610	314,200	79,210	21,690	760,960	630,780	255,720	319,620	536,160	630,780	756,940	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	May-21	2021	5	241,580	36,320	72,620	329,590	80,790	19,450	780,350	637,090	257,250	321,530	541,530	637,090	764,510	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Jun-21	2021	6	246,020	47,930	76,730	338,170	81,360	11,910	802,120	640,910	258,790	323,460	544,770	640,910	769,090	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Jul-21	2021	7	246,390	41,570	76,200	337,320	81,270	28,760	814,510	644,760	258,650	323,280	548,050	644,760	773,710	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Ago-21	2021	8	252,500	40,280	75,860	339,000	82,410	36,900	826,950	651,210	260,480	325,600	553,530	651,210	781,450	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Sep-21	2021	9	252,600	36,970	75,160	338,950	80,890	36,670	821,240	657,720	263,090	328,860	559,060	657,720	789,260	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Oct-21	2021	10	256,530	38,070	76,800	342,110	80,050	34,380	827,940	664,300	265,720	332,150	564,660	664,300	797,160	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Nov-21	2021	11	259,820	37,310	77,070	348,320	82,120	39,060	843,700	670,940	268,380	335,470	570,300	670,940	805,130	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Dic-21	2021	12	261,380	38,050	77,560	350,950	81,910	38,600	848,450	677,650	271,060	338,830	576,000	677,650	813,180	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Ene-22	2022	1	284,410	43,680	84,300	365,780	81,130	19,170	878,470	711,530	284,610	355,770	604,800	711,530	853,840	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Feb-22	2022	2	271,610	45,130	82,010	380,050	84,160	23,560	886,520	715,800	286,320	357,910	608,430	715,800	858,960	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Mar-22	2022	3	287,170	43,110	85,710	390,130	84,370	18,710	909,200	734,410	293,760	367,210	624,250	734,410	881,290	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Abr-22	2022	4	276,750	40,330	81,100	430,890	88,280	32,610	949,960	767,460	306,980	383,730	652,340	767,460	920,950	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	May-22	2022	5	273,920	40,980	81,630	439,650	92,560	38,790	967,530	776,670	310,670	388,340	660,170	776,670	932,000	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Jun-22	2022	6	277,940	49,520	84,090	446,070	92,020	55,550	1005,190	781,330	312,530	390,670	664,130	781,330	937,600	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Jul-22	2022	7	283,070	41,910	84,360	470,440	94,190	49,770	1023,740	796,960	318,780	398,480	677,420	796,960	956,350	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Ago-22	2022	8	285,390	52,120	87,700	445,550	96,790	66,610	1034,160	824,850	329,940	412,420	701,120	842,850	989,820	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Sep-22**	2022	9	289,580	50,850	89,260	421,420	96,990	42,300	990,400	833,260	333,310	416,640	708,270	833,260	999,910	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Oct-22**	2022	10	299,350	46,170	90,570	368,570	95,470	27,230	927,360	770,220	308,090	385,120	654,690	770,220	924,264	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Nov-22	2022	11	294,970	47,100	88,950	259,880	92,420	24,950	808,270	759,820	303,930	379,920	645,850	759,820	911,780	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Dic-22	2022	12	283,510	50,310	86,830	241,940	90,190	33,190	785,970	767,940	307,180	383,970	652,750	767,940	921,528	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Ene-23	2023	1	297,110	51,970	89,890	244,900	91,740	19,930	795,540	779,930	311,970	389,970	662,940	779,930	935,916	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Feb-23	2023	2	291,760	48,710	88,130	248,760	92,970	19,000	789,330	796,130	318,450	398,070	676,710	796,130	955,356	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Mar-23	2023	3	303,320	52,370	91,460	265,990	92,070	16,460	821,670	811,740	324,700	405,870	689,980	811,740	974,088	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Abr-23	2023	4	288,450	53,520	83,900	263,180	95,510	34,830	819,600	822,700	329,080	411,350	699,290	822,700	987,240	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	May-23	2023	5	278,000	48,530	80,430	253,400	97,760	34,920	793,040	831,600	332,640	415,800	706,860	831,600	997,920	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Jun-23	2023	6	327,630	50,700	90,260	254,330	97,260	16,220	836,400	837,730	335,090	418,860	712,070	837,730	1005,280	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Jul-23	2023	7	295,020	40,870	82,780	258,280	97,470	21,420	795,840	842,760	337,100	421,380	716,350	842,760	1011,312	25
CELSIA COLOMBIA S.A. E.S.P. TOLIMA	TOLIMA	Ago-23	2023	8	298,270	46,960	85,000	252,140	92,740	12,270	787,380	849,510	339,800	424,760	722,080	849,510	1019,412	25
